time,speed,step_frequency,heart_rate,steps_time_diff_seconds,heart_time_diff_seconds
2025-07-15 22:45:00.306697,0.035496636,121,54,0.370454,0.03318399999999999
2025-07-15 22:45:02.369165,0.03601108,116,63,0.426415,0.033042000000000016
2025-07-15 22:45:04.431541,0.044756628,111,61,0.47978,0.033599000000000045
2025-07-15 22:45:06.494475,0.042184408,106,58,0.533473,0.033089000000000035
2025-07-15 22:45:08.557182,0.029323308,101,49,0.587664,0.03317199999999998
2025-07-15 22:45:10.619601,0.043213296,98,47,0.641711,0.03301200000000004
2025-07-15 22:45:12.682143,0.021606648,93,54,0.697307,0.05139400000000005
2025-07-15 22:45:14.744333,0.0375544119999999,90,63,0.751184,0.051914000000000016
2025-07-15 22:45:16.807191,0.062247724,90,67,0.806489,0.05162100000000003
2025-07-15 22:45:18.869924,0.0375544119999999,85,63,0.862622,0.05151799999999995
2025-07-15 22:45:20.932022,0.045785516,82,43,0.918366,0.05206900000000003
2025-07-15 22:45:22.994941,0.0257222,79,40,0.973204,0.05181100000000005
2025-07-15 22:45:25.057542,0.034467748,76,41,0.981882,0.05175399999999997
2025-07-15 22:45:27.119994,0.011832212,76,41,0.928223,0.051682000000000006
2025-07-15 22:45:29.182540,0.014404432,76,46,0.87442,0.051622999999999974
2025-07-15 22:45:31.244725,0.003086664,71,44,0.821971,0.051966999999999985
2025-07-15 22:45:33.307368,0.011832212,66,44,0.766518,0.05217799999999995
2025-07-15 22:45:35.369883,0.034467748,66,50,0.713892,0.05226299999999995
2025-07-15 22:45:37.432826,0.02314998,66,44,0.659181,0.05182500000000001
2025-07-15 22:45:39.495414,0.0128611,66,48,0.604854,0.05168700000000004
2025-07-15 22:45:41.557847,0.051958844,65,50,0.550729,0.051966999999999985
2025-07-15 22:45:43.620527,0.011832212,64,46,0.494923,0.051760999999999946
2025-07-15 22:45:45.683025,0.027265532,69,47,0.43888499999999997,0.05163899999999999
2025-07-15 22:45:47.745563,0.019034428,74,45,0.385293,0.05155500000000002
2025-07-15 22:45:49.845374,0.0257222,79,40,0.294331,0.033326999999999996
2025-07-15 22:45:51.907984,0.048357736,79,52,0.23957099999999998,0.03310100000000005
2025-07-15 22:45:53.970472,0.029837752,82,97,0.18551799999999996,0.03366199999999997
