time,heart_rate
2025-07-15 22:44:39.641623,139
2025-07-15 22:44:40.670684,139
2025-07-15 22:44:40.672715,139
2025-07-15 22:44:41.701906,140
2025-07-15 22:44:41.704020,140
2025-07-15 22:44:42.733674,139
2025-07-15 22:44:42.735794,139
2025-07-15 22:44:43.766896,139
2025-07-15 22:44:43.768462,139
2025-07-15 22:44:44.795690,138
2025-07-15 22:44:44.797867,138
2025-07-15 22:44:45.826866,139
2025-07-15 22:44:45.828936,139
2025-07-15 22:44:46.857973,139
2025-07-15 22:44:46.860000,139
2025-07-15 22:44:48.007310,138
2025-07-15 22:44:48.008676,138
2025-07-15 22:44:48.996106,139
2025-07-15 22:44:48.998476,139
2025-07-15 22:44:50.026968,132
2025-07-15 22:44:50.028810,132
2025-07-15 22:44:51.058480,124
2025-07-15 22:44:51.060400,124
2025-07-15 22:44:52.089559,108
2025-07-15 22:44:52.091643,108
2025-07-15 22:44:53.120699,108
2025-07-15 22:44:53.122570,108
2025-07-15 22:44:54.152393,104
2025-07-15 22:44:54.154186,104
2025-07-15 22:44:55.184025,80
2025-07-15 22:44:55.185873,80
2025-07-15 22:44:56.214585,71
2025-07-15 22:44:56.216554,71
2025-07-15 22:44:57.246499,67
2025-07-15 22:44:57.248573,67
2025-07-15 22:44:58.277576,56
2025-07-15 22:44:58.279381,56
2025-07-15 22:44:59.308682,52
2025-07-15 22:44:59.310619,52
2025-07-15 22:45:00.339881,54
2025-07-15 22:45:00.341711,54
2025-07-15 22:45:01.371540,58
2025-07-15 22:45:01.373460,58
2025-07-15 22:45:02.402207,63
2025-07-15 22:45:02.404169,63
2025-07-15 22:45:03.433481,63
2025-07-15 22:45:03.435452,63
2025-07-15 22:45:04.465140,61
2025-07-15 22:45:04.466914,61
2025-07-15 22:45:05.496333,62
2025-07-15 22:45:05.498503,62
2025-07-15 22:45:06.527564,58
2025-07-15 22:45:06.529334,58
2025-07-15 22:45:07.558729,63
2025-07-15 22:45:07.560683,63
2025-07-15 22:45:08.590354,49
2025-07-15 22:45:08.592242,49
2025-07-15 22:45:09.621250,47
2025-07-15 22:45:09.623208,47
2025-07-15 22:45:10.652613,47
2025-07-15 22:45:10.655252,47
2025-07-15 22:45:11.683861,47
2025-07-15 22:45:11.685813,47
2025-07-15 22:45:12.733537,54
2025-07-15 22:45:12.735570,54
2025-07-15 22:45:13.765287,50
2025-07-15 22:45:13.767124,50
2025-07-15 22:45:14.796247,63
2025-07-15 22:45:14.798220,63
2025-07-15 22:45:15.827599,67
2025-07-15 22:45:15.829465,67
2025-07-15 22:45:16.858812,67
2025-07-15 22:45:16.861307,67
2025-07-15 22:45:17.890160,63
2025-07-15 22:45:17.892052,63
2025-07-15 22:45:18.921442,63
2025-07-15 22:45:18.923469,63
2025-07-15 22:45:19.953080,61
2025-07-15 22:45:19.955560,61
2025-07-15 22:45:20.984091,43
2025-07-15 22:45:20.986284,43
2025-07-15 22:45:22.015555,41
2025-07-15 22:45:22.017758,41
2025-07-15 22:45:23.046752,40
2025-07-15 22:45:23.049054,40
2025-07-15 22:45:24.080434,41
2025-07-15 22:45:24.082204,41
2025-07-15 22:45:25.109296,41
2025-07-15 22:45:25.111383,41
2025-07-15 22:45:26.140284,41
2025-07-15 22:45:26.142465,41
2025-07-15 22:45:27.171676,41
2025-07-15 22:45:27.174068,41
2025-07-15 22:45:28.202839,46
2025-07-15 22:45:28.204768,46
2025-07-15 22:45:29.234163,46
2025-07-15 22:45:29.236053,46
2025-07-15 22:45:30.265433,42
2025-07-15 22:45:30.267320,42
2025-07-15 22:45:31.296692,44
2025-07-15 22:45:31.298384,44
2025-07-15 22:45:32.328348,44
2025-07-15 22:45:32.330293,44
2025-07-15 22:45:33.359546,44
2025-07-15 22:45:33.361333,44
2025-07-15 22:45:34.390901,48
2025-07-15 22:45:34.393101,48
2025-07-15 22:45:35.422146,50
2025-07-15 22:45:35.424532,50
2025-07-15 22:45:36.453154,46
2025-07-15 22:45:36.455378,46
2025-07-15 22:45:37.484651,44
2025-07-15 22:45:37.486744,44
2025-07-15 22:45:38.515692,51
2025-07-15 22:45:38.518037,51
2025-07-15 22:45:39.547101,48
2025-07-15 22:45:39.552832,48
2025-07-15 22:45:40.578374,49
2025-07-15 22:45:40.580330,49
2025-07-15 22:45:41.609814,50
2025-07-15 22:45:41.612030,50
2025-07-15 22:45:42.641280,49
2025-07-15 22:45:42.643123,49
2025-07-15 22:45:43.672288,46
2025-07-15 22:45:43.674188,46
2025-07-15 22:45:44.703481,47
2025-07-15 22:45:44.705376,47
2025-07-15 22:45:45.734664,47
2025-07-15 22:45:45.736630,47
2025-07-15 22:45:46.765973,45
2025-07-15 22:45:46.767915,45
2025-07-15 22:45:47.797118,45
2025-07-15 22:45:47.799628,45
2025-07-15 22:45:48.828871,41
2025-07-15 22:45:48.830717,41
2025-07-15 22:45:49.878701,40
2025-07-15 22:45:49.880832,40
2025-07-15 22:45:50.909920,43
2025-07-15 22:45:50.912006,43
2025-07-15 22:45:51.941085,52
2025-07-15 22:45:51.943275,52
2025-07-15 22:45:52.972762,97
2025-07-15 22:45:52.974648,97
2025-07-15 22:45:54.004134,97
2025-07-15 22:45:54.005822,97
2025-07-15 22:45:55.034884,68
2025-07-15 22:45:55.037143,68
2025-07-15 22:45:56.066203,68
2025-07-15 22:45:56.068794,68
2025-07-15 22:45:57.097388,61
2025-07-15 22:45:57.099281,61
2025-07-15 22:45:58.129102,53
2025-07-15 22:45:58.131172,53
2025-07-15 22:45:59.160261,49
2025-07-15 22:45:59.162018,49
2025-07-15 22:46:00.191518,55
2025-07-15 22:46:00.193570,55
2025-07-15 22:46:01.222762,51
2025-07-15 22:46:01.224859,51
2025-07-15 22:46:02.254272,52
2025-07-15 22:46:02.256070,52
2025-07-15 22:46:03.285432,49
2025-07-15 22:46:03.287710,49
2025-07-15 22:46:04.316352,49
2025-07-15 22:46:04.318470,49
2025-07-15 22:46:05.347896,42
2025-07-15 22:46:05.350075,42
2025-07-15 22:46:06.379419,43
2025-07-15 22:46:06.381408,43
2025-07-15 22:46:07.410134,48
2025-07-15 22:46:07.412311,48
2025-07-15 22:46:08.441785,46
2025-07-15 22:46:08.443569,46
2025-07-15 22:46:09.473002,46
2025-07-15 22:46:09.474919,46
2025-07-15 22:46:10.504309,46
2025-07-15 22:46:10.506464,46
2025-07-15 22:46:11.535544,54
2025-07-15 22:46:11.537641,54
2025-07-15 22:46:12.566636,66
2025-07-15 22:46:12.568690,66
2025-07-15 22:46:13.597820,64
2025-07-15 22:46:13.599829,64
2025-07-15 22:46:14.629427,58
2025-07-15 22:46:14.631603,58
2025-07-15 22:46:15.663457,62
2025-07-15 22:46:15.665214,62
2025-07-15 22:46:16.691758,68
2025-07-15 22:46:16.693654,68
2025-07-15 22:46:17.723209,69
2025-07-15 22:46:17.725277,69
2025-07-15 22:46:18.754761,78
2025-07-15 22:46:18.756666,78
2025-07-15 22:46:19.785704,76
2025-07-15 22:46:19.787646,76
2025-07-15 22:46:20.816904,75
2025-07-15 22:46:20.818789,75
2025-07-15 22:46:21.848493,79
2025-07-15 22:46:21.850349,79
2025-07-15 22:46:22.879388,90
2025-07-15 22:46:22.881286,90
2025-07-15 22:46:23.910922,81
2025-07-15 22:46:23.912822,81
2025-07-15 22:46:24.979723,79
2025-07-15 22:46:24.981741,79
2025-07-15 22:46:26.010753,69
2025-07-15 22:46:26.012873,69
2025-07-15 22:46:27.042173,71
2025-07-15 22:46:27.044358,71
2025-07-15 22:46:28.073344,69
2025-07-15 22:46:28.075626,69
2025-07-15 22:46:29.104927,69
2025-07-15 22:46:29.107191,69
2025-07-15 22:46:30.136141,62
2025-07-15 22:46:30.137961,62
2025-07-15 22:46:31.167085,56
2025-07-15 22:46:31.168919,56
2025-07-15 22:46:32.198357,58
2025-07-15 22:46:32.200572,58
2025-07-15 22:46:33.232011,60
2025-07-15 22:46:33.233500,60
2025-07-15 22:46:34.260893,69
2025-07-15 22:46:34.263287,69
2025-07-15 22:46:35.291931,69
2025-07-15 22:46:35.293586,69
2025-07-15 22:46:36.323599,58
2025-07-15 22:46:36.325148,58
2025-07-15 22:46:37.354396,64
2025-07-15 22:46:37.356159,64
2025-07-15 22:46:38.385825,68
2025-07-15 22:46:38.387501,68
2025-07-15 22:46:39.416963,67
2025-07-15 22:46:39.418560,67
2025-07-15 22:46:40.448495,68
2025-07-15 22:46:40.450549,68
2025-07-15 22:46:41.480067,51
2025-07-15 22:46:41.482200,51
2025-07-15 22:46:42.511130,67
2025-07-15 22:46:42.513103,67
2025-07-15 22:46:43.542349,69
2025-07-15 22:46:43.544269,69
2025-07-15 22:46:44.573964,71
2025-07-15 22:46:44.576080,71
2025-07-15 22:46:45.605075,70
2025-07-15 22:46:45.607170,70
2025-07-15 22:46:46.636236,68
2025-07-15 22:46:46.638169,68
2025-07-15 22:46:47.670329,66
2025-07-15 22:46:47.671820,66
2025-07-15 22:46:48.698983,89
2025-07-15 22:46:48.701136,89
2025-07-15 22:46:49.730069,90
2025-07-15 22:46:49.732175,90
2025-07-15 22:46:50.761690,90
2025-07-15 22:46:50.763931,90
2025-07-15 22:46:51.792914,91
2025-07-15 22:46:51.794722,91
2025-07-15 22:46:52.824135,91
2025-07-15 22:46:52.826121,91
2025-07-15 22:46:53.855182,92
2025-07-15 22:46:53.857054,92
2025-07-15 22:46:54.887037,91
2025-07-15 22:46:54.889229,91
2025-07-15 22:46:55.917986,91
2025-07-15 22:46:55.920444,91
2025-07-15 22:46:56.949351,90
2025-07-15 22:46:56.951810,90
2025-07-15 22:46:57.980843,90
2025-07-15 22:46:57.983100,90
2025-07-15 22:46:59.011918,89
2025-07-15 22:46:59.014214,89
2025-07-15 22:47:00.043082,89
2025-07-15 22:47:00.045109,89
2025-07-15 22:47:01.074385,89
2025-07-15 22:47:01.076580,89
2025-07-15 22:47:02.105423,89
2025-07-15 22:47:02.107603,89
2025-07-15 22:47:03.137138,90
2025-07-15 22:47:03.139247,90
2025-07-15 22:47:04.168036,90
2025-07-15 22:47:04.169998,90
2025-07-15 22:47:05.199232,91
2025-07-15 22:47:05.202173,91
2025-07-15 22:47:06.231275,91
2025-07-15 22:47:06.234072,91
2025-07-15 22:47:07.261998,92
2025-07-15 22:47:07.265220,92
2025-07-15 22:47:08.293530,92
2025-07-15 22:47:08.295720,92
2025-07-15 22:47:09.324679,92
2025-07-15 22:47:09.326717,92
2025-07-15 22:47:10.356374,92
2025-07-15 22:47:10.359241,92
2025-07-15 22:47:11.387245,92
2025-07-15 22:47:11.389801,92
2025-07-15 22:47:12.418869,92
2025-07-15 22:47:12.421071,92
2025-07-15 22:47:13.449775,92
2025-07-15 22:47:13.452242,92
2025-07-15 22:47:14.480856,93
2025-07-15 22:47:14.483345,93
2025-07-15 22:47:15.512298,93
2025-07-15 22:47:15.514783,93
2025-07-15 22:47:16.543823,93
2025-07-15 22:47:16.546255,93
2025-07-15 22:47:17.575301,93
2025-07-15 22:47:17.577763,93
2025-07-15 22:47:18.606095,93
2025-07-15 22:47:18.608167,93
2025-07-15 22:47:19.637714,93
2025-07-15 22:47:19.640334,93
2025-07-15 22:47:20.668595,92
2025-07-15 22:47:20.670960,92
2025-07-15 22:47:21.699910,92
2025-07-15 22:47:21.702068,92
2025-07-15 22:47:22.731284,92
2025-07-15 22:47:22.733337,92
2025-07-15 22:47:23.762435,92
2025-07-15 22:47:23.764785,92
2025-07-15 22:47:24.794052,93
2025-07-15 22:47:24.796333,93
2025-07-15 22:47:25.824935,92
2025-07-15 22:47:25.827345,92
2025-07-15 22:47:26.856253,93
2025-07-15 22:47:26.858591,93
2025-07-15 22:47:27.887369,92
2025-07-15 22:47:27.889498,92
2025-07-15 22:47:28.919610,92
2025-07-15 22:47:28.921520,92
2025-07-15 22:47:29.950273,92
2025-07-15 22:47:29.952437,92
2025-07-15 22:47:30.981428,92
2025-07-15 22:47:30.984166,92
2025-07-15 22:47:32.012748,92
2025-07-15 22:47:32.015289,92
2025-07-15 22:47:33.044434,92
2025-07-15 22:47:33.047254,92
2025-07-15 22:47:34.075345,92
2025-07-15 22:47:34.077604,92
2025-07-15 22:47:35.106592,93
2025-07-15 22:47:35.109033,93
2025-07-15 22:47:36.137642,92
2025-07-15 22:47:36.139637,92
2025-07-15 22:47:37.169413,93
2025-07-15 22:47:37.171575,93
2025-07-15 22:47:38.200527,92
2025-07-15 22:47:38.202683,92
2025-07-15 22:47:39.231492,92
2025-07-15 22:47:39.233888,92
2025-07-15 22:47:40.262636,92
2025-07-15 22:47:40.265000,92
2025-07-15 22:47:41.294224,92
2025-07-15 22:47:41.296555,92
2025-07-15 22:47:42.325127,92
2025-07-15 22:47:42.327665,92
2025-07-15 22:47:43.356574,91
2025-07-15 22:47:43.358734,91
2025-07-15 22:47:44.387924,90
2025-07-15 22:47:44.389916,90
2025-07-15 22:47:45.419631,90
2025-07-15 22:47:45.422386,90
2025-07-15 22:47:46.450535,90
2025-07-15 22:47:46.452761,90
2025-07-15 22:47:47.481843,90
2025-07-15 22:47:47.484640,90
2025-07-15 22:47:48.512925,90
2025-07-15 22:47:48.515364,90
2025-07-15 22:47:49.544403,89
2025-07-15 22:47:49.546948,89
2025-07-15 22:47:50.577532,90
2025-07-15 22:47:50.580116,90
2025-07-15 22:47:51.606962,90
2025-07-15 22:47:51.609499,90
2025-07-15 22:47:52.638587,90
2025-07-15 22:47:52.640859,90
2025-07-15 22:47:53.669422,91
2025-07-15 22:47:53.671537,91
2025-07-15 22:47:54.700772,92
2025-07-15 22:47:54.702633,92
2025-07-15 22:47:55.731831,93
2025-07-15 22:47:55.733724,93
2025-07-15 22:47:56.763324,94
2025-07-15 22:47:56.765628,94
2025-07-15 22:47:57.794809,95
2025-07-15 22:47:57.796632,95
2025-07-15 22:47:58.826049,95
2025-07-15 22:47:58.828167,95
2025-07-15 22:47:59.857122,95
2025-07-15 22:47:59.859074,95
2025-07-15 22:48:00.888966,95
2025-07-15 22:48:00.891422,95
2025-07-15 22:48:01.919676,94
2025-07-15 22:48:01.921532,94
2025-07-15 22:48:02.950746,93
2025-07-15 22:48:02.953076,93
2025-07-15 22:48:03.982262,93
2025-07-15 22:48:03.984435,93
2025-07-15 22:48:05.013538,92
2025-07-15 22:48:05.015636,92
2025-07-15 22:48:06.045488,92
2025-07-15 22:48:06.047663,92
2025-07-15 22:48:07.075828,92
2025-07-15 22:48:07.078175,92
2025-07-15 22:48:08.107440,92
2025-07-15 22:48:08.109892,92
2025-07-15 22:48:09.141044,93
